Id,Description,Package,Qty,Designator,Designation
1,1x6-pin female header .1inch,.1 inch header,1,SHIELD1
2,1x8-pin female header .1inch,.1 inch header,2,SHIELD1
3,1x10-pin female header .1inch,.1 inch header,1,SHIELD1
4,LDO voltage regulator,SOT89,2,"REG1,REG2",LD2981ABU50TR
5,Digital signal isolator,so-8,2,"SIG_ISO1, SIG_ISO2",SI8600
6,"SMD resistor 4.7K, 1/8W",SM0805,6,"R5,R6,R4,R3,R2,R1",4.7K
7,Multilayer Ceramic Capacitor 0.1uF,SM0805,4,"C9,C4,C10,C5",0.1 µF
8,Multilayer Ceramic Capacitor 1uF,SM0805,4,"C2,C6,C1,C7",1µF
9,Multilayer Ceramic Capacitor 2.2uF,SM0805,2,"C8,C3",2.2µF
10,Tantalum Capacitor 470uF,c_tant_x,1,C11,470µF
11,Tactile push button,B3S-1000P,1,SW1,SW_PUSH
12,Isolated DC/DC converter 5V,R1SE_0505,2,"DCDC1,DCDC2",R1SE_0505
13,BNC Connector,BNC-1337542,2,"P1,P2",BNC
14,1x3-pin female header .1inch,1x3  .1 inch spacing female pin,4,"STP1,STP2",ATLAS_STAMP
